time_step,class,transactions,mean_btc,mean_fee
1,1,17,1.197050401764706,0.0008537941176470588
1,2,2130,10.972052528344433,0.0002548949191246432
1,3,5733,20.623754751708297,0.00013309020087336245
2,1,18,1.124933815,0.0010307222222222222
2,2,1099,13.954958339788604,0.00022434134191176471
2,3,3427,8.155917836134968,0.00016059821209465382
3,1,11,1.8082255299999999,0.0009127272727272727
3,2,1268,4.1089297817665615,0.0002089749684542587
3,3,5342,79.71247108233621,0.00020276976787719954
4,1,30,0.8535390946666667,0.0009747026666666667
4,2,1410,5.5177097549432625,0.00032614637588652485
4,3,4253,13.345633518917392,0.00015877610261237938
5,1,8,1.63333972125,0.00039740375
5,2,1874,12.485524904354323,0.00022283557097118462
5,3,4921,44.353533857578775,0.000164848060581419
6,1,5,0.18441204,0.00017999600000000003
6,2,480,10.1646754139375,0.0005204469166666667
6,3,3843,128.550566602675,0.00031754446786364817
7,1,102,0.954505982745098,0.0002409350980392157
7,2,1101,10.723128219044117,0.00026743919117647055
7,3,4845,44.29906511373036,0.00020667319685690653
8,1,67,0.42424283895522386,0.0002626865671641791
8,2,1098,5.765214467963303,0.000995402642201835
8,3,3292,18.879099382981064,0.0002915347525962126
9,1,248,0.6817473564112903,0.00029320911290322584
9,2,530,9.308721598279774,0.000321677561436673
9,3,4218,28.86807032495254,0.0001859317204556241
10,1,18,1.8632217738888888,0.0001981372222222222
10,2,954,10.336510438259959,0.00034807145702306076
10,3,5755,34.613988256867074,0.00021764816507384885
11,1,131,0.7838505559541985,0.0001993320610687023
11,2,565,10.831815532128802,0.0003370496958855098
11,3,3600,15.302266097590998,0.00021199018060572383
12,1,16,0.51695004,0.00031821875000000003
12,2,490,66.43861793623967,0.00044048712809917356
12,3,1541,16.79752653651072,0.00026799491877842755
13,1,291,0.47941258024054983,0.0001988850171821306
13,2,518,21.867992363076926,0.0004281045364891519
13,3,3719,4.872230540672405,0.0002422422861753631
14,1,43,0.6135509137209303,0.00020807674418604652
14,2,374,48.51793736817204,0.0005542370967741935
14,3,1605,11.303250584392522,0.0002995888847352025
15,1,147,0.5151192263945578,0.00020879020408163268
15,2,471,17.036315073066955,0.0004819371058315335
15,3,3021,18.54699782402257,0.00038922190507799533
16,1,128,0.30818312359375,0.00019559734375
16,2,402,14.27927393181592,0.0003882839054726368
16,3,2445,43.163179976070694,0.0003593025606247431
17,1,99,0.311233317979798,0.00018815727272727273
17,2,712,19.403960327457867,0.0005621138483146068
17,3,2574,7.956243233715846,0.00031353557767369245
18,1,52,0.3941584830769231,0.0001933153846153846
18,2,337,18.52190598065476,0.0006195365773809524
18,3,1587,76.77232207850095,0.00041845124604680584
19,1,80,0.43110710525,0.000206661125
19,2,665,34.10780891404511,0.0005696665714285715
19,3,2761,9.805388586168055,0.00032117706628033324
20,1,260,0.4168588922307692,0.00021015173076923077
20,2,640,15.864207254395605,0.0005540698273155416
20,3,3391,6.717906577168142,0.00031332745722713865
21,1,100,0.7115250156,0.00043966240000000003
21,2,541,7.445798760851852,0.0007096600740740741
21,3,2896,7.508679189851417,0.00027022430891499656
22,1,158,0.4552230981012659,0.00037987272151898736
22,2,1605,8.960927437882205,0.00043843983082706773
22,3,4131,17.29785855204656,0.0003415942677012609
23,1,53,0.5703776245283019,0.0006707928301886793
